Car Model,Car Make,VIN,Year,Owner Name,Company
323,Mazda,SCFAB05D59G943212,1994,Harlin Rainer,
Caravan,Dodge,1G6AB5RA7E0510380,2006,Ileane Burberye,
Legacy,Subaru,19UUA8F38DA305133,1999,Susannah Britian,Harber and Sons
Elantra,Hyundai,2G4GN5EK6C9397999,1996,Kalle Tresvina,"Kuphal, Stamm and Schiller"
Electra,Buick,YV126MFC3F1032342,1988,Bert Reuben,
300SE,Mercedes-Benz,WUAGNAFG4CN022992,1993,Althea Fleckno,"Herzog, Hessel and Stanton"
Blazer,Chevrolet,3C6TD5FT4CG095637,1996,Arlana Hamblin,Yost and Sons
Express 2500,Chevrolet,1G6DM1ED8B0137703,1997,Raynor Swiffen,
Land Cruiser,Toyota,WBA3R1C56EK393429,1997,Berget Whapples,Effertz-Deckow
Colt,Dodge,1C6RD6FKXCS246867,1989,Lindsay Brattell,
Continental GT,Bentley,5BZAF0AA8EN414664,2007,Morgun Adlington,Vandervort-Emmerich
Spectra,Kia,3VWKP7AJ2CM142448,2009,Hamlin Bisp,
911,Porsche,W04GR5EC7B1616855,1992,Osbourn Kobus,"Crona, McKenzie and Keeling"
2500,GMC,5UXZV4C53BL599984,1993,Ivan Ledrane,
Acclaim,Plymouth,1C4RJEAG5EC830802,1994,Laughton Porker,
G-Class,Mercedes-Benz,SCFAD01A55G804133,2006,Page Palfrie,"Douglas, Lehner and Jacobi"
Yukon XL 1500,GMC,WAUDF78E86A165447,2000,Reagen Sambiedge,
Thunderbird,Ford,1NXBU4EE1AZ134451,2005,Codi Hurrell,
TrailBlazer,Chevrolet,1GYS4GEF9BR112842,2002,Prescott Brittin,
Express 3500,Chevrolet,3VWML7AJ3DM006755,2000,Morgen Swanne,
Sierra 2500,GMC,1G4GD5GD2BF779440,2011,Adelbert Rousel,
Passat,Volkswagen,YV1612FH2D1494081,1985,Dermot Pietroni,
Spirit,Dodge,1FMEU7DE4AU283790,1992,Dionisio Padson,
Skylark,Buick,WDDHF2EB2DA733650,1989,Kris Elderfield,
Grand Marquis,Mercury,5N1AA0NC3FN700722,2000,Daron Lanphere,
Express 1500,Chevrolet,1G4GC5ER4DF233159,2003,Thalia Gillies,
Fairlane,Ford,WAUHE98P39A714056,1967,Shannon Gabbat,Schmitt-Wyman
Chariot,Mitsubishi,JTHBB1BA0B2802889,1991,Regina Rubanenko,
